symbol,charge,model,a1,b1,a2,b2,a3,b3,a4,b4,c,maximum error,s,mean error
Pb,4.000000,*DS,32.124400,1.005660,18.800300,6.109260,12.017500,0.147041,6.968860,14.714000,8.084280,0.005000,0.310000,0.002000
Bi,0.000000,RHF,33.368900,0.704000,12.951000,2.923800,16.587700,8.793700,6.469200,48.009300,13.578200,0.065000,2.000000,0.020000
Bi,3.000000,*DS,21.805300,1.235600,19.502600,6.241490,19.105300,0.469999,7.102950,20.318500,12.471100,0.015000,2.000000,0.006000
Bi,5.000000,*DS,33.536400,0.916540,25.094600,0.390420,19.249700,5.714140,6.915550,12.828500,6.799400,0.003000,0.000000,0.001000
Po,0.000000,*RHF,34.672600,0.700999,15.473300,3.550780,13.113800,9.556420,7.025880,47.004500,13.677000,0.066000,2.000000,0.018000
At,0.000000,*RHF,35.316300,0.685870,19.021100,3.974580,9.498870,11.382400,7.425180,45.471500,13.710800,0.062000,2.000000,0.015000
Rn,0.000000,RHF,35.563100,0.663100,21.281600,4.069100,8.003700,14.042200,7.443300,44.247300,13.690500,0.054000,2.000000,0.012000
Fr,0.000000,*RHF,35.929900,0.646453,23.054700,4.176190,12.143900,23.105200,2.112530,150.645000,13.724700,0.055000,2.000000,0.017000
Ra,0.000000,*RHF,35.763000,0.616341,22.906400,3.871350,12.473900,19.988700,3.210970,142.325000,13.621100,0.037000,2.000000,0.012000
Ra,2.000000,*DS,35.215000,0.604909,21.670000,3.576700,7.913420,12.601000,7.650780,29.843600,13.543100,0.029000,2.000000,0.006000
Ac,0.000000,*RHF,35.659700,0.589092,23.103200,3.651550,12.597700,18.599000,4.086550,117.020000,13.526600,0.030000,0.060000,0.009000
Ac,3.000000,*DS,35.173600,0.579689,22.111200,3.414370,8.192160,12.918700,7.055450,25.944300,13.463700,0.021000,2.000000,0.004000
Th,0.000000,*RHF,35.564500,0.563359,23.421900,3.462040,12.747300,17.830900,4.807030,99.172200,13.431400,0.031000,0.070000,0.008000
Th,4.000000,*DS,35.100700,0.555054,22.441800,3.244980,9.785540,13.466100,5.294440,23.953300,13.376000,0.014000,2.000000,0.002000
Pa,0.000000,*RHF,35.884700,0.547751,23.294800,3.415190,14.189100,16.923500,4.172870,105.251000,13.428700,0.033000,0.060000,0.010000
U,0.000000,RHF,36.022800,0.529300,23.412800,3.325300,14.949100,16.092700,4.188000,100.613000,13.396600,0.035000,0.070000,0.010000
U,3.000000,*DS,35.574700,0.520480,22.525900,3.122930,12.216500,12.714800,5.370730,26.339400,13.309200,0.009000,2.000000,0.002000
U,4.000000,*DS,35.371500,0.516598,22.532600,3.050530,12.029100,12.572300,4.798400,23.458200,13.267100,0.007000,2.000000,0.001000
U,6.000000,*DS,34.850900,0.507079,22.758400,2.890300,14.009900,13.176700,1.214570,25.201700,13.166500,0.003000,2.000000,0.001000
Np,0.000000,*RHF,36.187400,0.511929,23.596400,3.253960,15.640200,15.362200,4.185500,97.490800,13.357300,0.037000,0.070000,0.011000
Np,3.000000,*DS,35.707400,0.502322,22.613000,3.038070,12.989800,12.144900,5.432270,25.492800,13.254400,0.006000,2.000000,0.002000
Np,4.000000,*DS,35.510300,0.498626,22.578700,2.966270,12.776600,11.948400,4.921590,22.750200,13.211600,0.005000,2.000000,0.001000
Np,6.000000,*DS,35.013600,0.489810,22.728600,2.810990,14.388400,12.330000,1.756690,22.658100,13.113000,0.002000,2.000000,0.001000
Pu,0.000000,*RHF,36.525400,0.499384,23.808300,3.263710,16.770700,14.945500,3.479470,105.980000,13.381200,0.038000,0.140000,0.013000
Pu,3.000000,*DS,35.840000,0.484938,22.716900,2.961180,13.580700,11.533100,5.660160,24.399200,13.199100,0.005000,2.000000,0.001000
Pu,4.000000,*DS,35.649300,0.481422,22.646000,2.890200,13.359500,11.316000,5.188310,21.830100,13.155500,0.003000,2.000000,0.001000
Pu,6.000000,*DS,35.173600,0.473204,22.718100,2.738480,14.763500,11.553000,2.286780,20.930300,13.058200,0.001000,1.360000,0.001000
Am,0.000000,*RHF,36.670600,0.483629,24.099200,3.206470,17.341500,14.313600,3.493310,102.273000,13.359200,0.040000,0.070000,0.013000
Cm,0.000000,*RHF,36.648800,0.465154,24.409600,3.089970,17.399000,13.434600,4.216650,88.483400,13.288700,0.041000,0.070000,0.013000
Bk,0.000000,*RHF,36.788100,0.451018,24.773600,3.046190,17.891900,12.894600,4.232840,86.003000,13.275400,0.042000,0.070000,0.014000
Cf,0.000000,*RHF,36.918500,0.437533,25.199500,3.007750,18.331700,12.404400,4.243910,83.788100,13.267400,0.043000,0.070000,0.014000
